"ra_number","date_of_survey","check_out_day","check_in_day","primary_rental_purpose","vehicle_model_description","overall_satisfaction","mechanical_condition_of_vehicle","cleanliness_of_the_vehicle","vehicle_selection_choice","ease_of_pick_up","ease_of_return","would_you_recommend","recommend_comment"
"832595820",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR TERRAINFW1N",,,,,,,,
"832591233",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR QX60 AWD SN",,,,,,,,
"833622016",2019-07-08,2019-07-05,2019-07-07,"Leisure","SIRWRAN4D4W2.0N",10,10,10,10,9,10,9,"Everything went flawlessly. Perfect experience."
"831791516",2019-07-08,2019-07-03,2019-07-06,"Leisure","SIR XE SUN N",10,10,10,10,10,10,10,"Pick up of vehicle is super easy and efficient. Car was clean and ready to go. Signage to exit is clear."
"833663132",2019-07-08,2019-07-05,2019-07-07,"Leisure","SIR TERRAINFW1N",7,7,2,0,0,10,0,"I am a hertz gold member. There we NO cars available and we had to wait over half an hour to get a car. They had us outside in 100 degree plus weather waiting. Horrible experience"
"832490573",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR ROGUE FWD N",10,10,8,10,10,10,10,"I was unexpectedly upgraded and it was so helpful for my families trip!! Thank you!!"
"830497791",2019-07-08,2019-06-30,2019-07-05,"Both Business and Leisure","SIRMALIBU 1.5 N",4,8,9,8,9,10,9,"rental experience was great except for the car. Very poor performance and would not rent that car again. Hopefully Herts will get some better full-sized vehicles"
"832560116",2019-07-08,2019-07-04,2019-07-06,"Both Business and Leisure","SIR XTS FWD N",,,,,,,,
"832817554",2019-07-08,2019-07-04,2019-07-07,"Leisure","SIREQUINOXFWD2N",10,10,10,10,10,10,10,"The car was great"
"830039280",2019-07-08,2019-06-29,2019-07-01,"Leisure","SIR ROGUE FWD N",9,10,10,9,10,10,9,"Good car. Timely service. Check out went fast!"
"832113586",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR QX60 AWD SN",0,7,9,0,6,8,3,"This was my worst car rental experience ever; too many specifics to list."
"832585585",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR EXPLORER 3N",,,,,,,,
"832623142",2019-07-08,2019-07-03,2019-07-04,"Business","SIR CRUZE 4D FN",10,10,10,10,10,10,10,"Greg. Pure and simple. The airport service worker who intook my return at San Diego Intl Airport is the ONLY reason I will stick with Hertz. I was pressed for time and he made the drop off experience ten times easier than when I rent anywhere else. As a former ABM myself, personally, Greg is wasting his talent at the airport location. His skill would be effective at any HLE. Hands down."
"832362786",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIREQUINOXFWD2N",9,9,9,9,9,9,9,"Everything is so easy."
"832629291",2019-07-08,2019-07-03,2019-07-07,"Both Business and Leisure","SIRRAM15004WCCN",10,10,9,9,8,10,9,"Pick up truck was ready when I arrived. The only minor problem was my name was not on the Hertz board to pick up my truck when I arrived. I had to wait in line to pick up my truck. Not sure why. I thought as a gold club member I could just go to the area and pick up my truck. No big deal but you would have scored a 10 if I didn't have to wait in line to get my truck. People at counter were friendly and helpful."
"819835225",2019-07-08,2019-06-29,2019-07-06,"Leisure","SIRYUKON 4W7P N",6,10,0,10,8,5,5,"Back rows and storage areas of car had not been cleaned. Check in person was not friendly."
"833099842",2019-07-08,2019-07-04,2019-07-07,"Both Business and Leisure","SIR ALTIMA U N",,,,,,,,
"831101412",2019-07-08,2019-07-01,2019-07-04,"Leisure","BEETLE 2.0 N",7,10,3,7,9,10,8,"Overall good experience, but as the last time I rented from Hertz, the cleanliness of the vehicle itself was not up to par..."
"830285050",2019-07-08,2019-06-30,2019-07-04,"Leisure","SIR SOUL 5D N",10,10,10,9,10,10,10,"It was very easy! We picked the car we liked, drove it for a few days and returned it just as easily! It was perfect! Thank you"
"830387294",2019-07-08,2019-06-30,2019-07-05,"Leisure","SIRMUST CV 2.3N",7,10,0,10,10,10,10,"Overall pleased with the service provided"
"831791214",2019-07-08,2019-07-03,2019-07-07,"Leisure","C300 2.0 CV RWN",10,10,9,10,5,5,10,"Easy pick up and drop off..no hassles"
"832612992",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR XTS FWD N",,,,,,,,
"832862774",2019-07-08,2019-07-04,2019-07-07,"Leisure","SIRRAM15004WCCN",10,10,10,10,10,10,10,"As a gold member I can now choose any car in section 5 at the phoenix airport. This allows me to change my mind about the original car I wanted. Drop off is quick. The Employees are friendly and helpful."
"832615313",2019-07-08,2019-07-03,2019-07-07,"Both Business and Leisure","SIR RAM1500 2WN",9,9,9,9,9,9,9,"Hassle free experience."
"833579342",2019-07-08,2019-07-05,2019-07-07,"Leisure","SENTRA 1.8 N",,,,,,,,
"817298215",2019-07-08,2019-06-26,2019-07-04,"Leisure","SIREQUINOXFWD1N",,,,,,,,
